-0.098949f, 0.268655f, 0.022241f,
0.029928f, 0.292401f, 0.083395f,
0.158804f, 0.316146f, 0.144549f,
-0.079338f, 0.316146f, 0.021008f,
0.039733f, 0.316146f, 0.082778f,
0.158804f, 0.316146f, 0.144549f,
0.158804f, 0.316146f, 0.144549f,
0.029928f, 0.292401f, 0.083395f,
-0.098949f, 0.268655f, 0.022241f,
0.356883f, 0.268655f, 0.201318f,
0.128967f, 0.268655f, 0.11178f,
-0.098949f, 0.268655f, 0.022241f,
0.356883f, 0.268655f, 0.201318f,
0.428566f, 0.292401f, 0.209119f,
0.500249f, 0.316146f, 0.216919f,
0.158804f, 0.316146f, 0.144549f,
0.329527f, 0.316146f, 0.180734f,
0.500249f, 0.316146f, 0.216919f,
0.500249f, 0.316146f, 0.216919f,
0.428566f, 0.292401f, 0.209119f,
0.356883f, 0.268655f, 0.201318f,
0.572123f, 0.292401f, 0.200979f,
0.464503f, 0.280528f, 0.201148f,
0.356883f, 0.268655f, 0.201318f,
0.643997f, 0.268655f, 0.185038f,
0.50044f, 0.268655f, 0.193178f,
0.356883f, 0.268655f, 0.201318f,
0.643997f, 0.268655f, 0.185038f,
0.686547f, 0.292401f, 0.171009f,
0.729097f, 0.316146f, 0.15698f,
0.500249f, 0.316146f, 0.216919f,
0.614673f, 0.316146f, 0.18695f,
0.729097f, 0.316146f, 0.15698f,
0.729097f, 0.316146f, 0.15698f,
0.686547f, 0.292401f, 0.171009f,
0.643997f, 0.268655f, 0.185038f,
0.789972f, 0.292401f, 0.127005f,
0.716985f, 0.280528f, 0.156022f,
0.643997f, 0.268655f, 0.185038f,
0.850848f, 0.268655f, 0.097029f,
0.747423f, 0.268655f, 0.141034f,
0.643997f, 0.268655f, 0.185038f,
0.850848f, 0.268655f, 0.097029f,
0.886874f, 0.292401f, 0.087652f,
0.922899f, 0.316146f, 0.078276f,
0.729097f, 0.316146f, 0.15698f,
0.825998f, 0.316146f, 0.117628f,
0.922899f, 0.316146f, 0.078276f,
0.922899f, 0.316146f, 0.078276f,
0.886874f, 0.292401f, 0.087652f,
0.850848f, 0.268655f, 0.097029f,
0.990422f, 0.292401f, 0.061654f,
